dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-motor_basic,cc,0,LogBandPower+LDA,accuracy,1.0,4,chronological,24,6,60,0.7619130611419678
Miller2019-motor_basic,cc,0,LogBandPower+LDA,balanced_accuracy,1.0,4,chronological,24,6,60,0.7619130611419678
Miller2019-motor_basic,cc,0,HighGamma+LDA,kappa,1.0,4,chronological,24,6,60,0.21803760528564453
Miller2019-motor_basic,cc,0,HighGamma+LDA,accuracy,1.0,4,chronological,24,6,60,0.21803760528564453
Miller2019-motor_basic,cc,0,HighGamma+LDA,balanced_accuracy,1.0,4,chronological,24,6,60,0.21803760528564453
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,0,chronological,48,12,64,1.1840128898620605
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,0,chronological,48,12,64,1.1840128898620605
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,0,chronological,48,12,64,1.1840128898620605
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,1.0,0,chronological,48,12,64,0.46414828300476074
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,1.0,0,chronological,48,12,64,0.46414828300476074
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,1.0,0,chronological,48,12,64,0.46414828300476074
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,1,chronological,48,12,64,1.6087195873260498
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,1,chronological,48,12,64,1.6087195873260498
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,1,chronological,48,12,64,1.6087195873260498
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,1.0,1,chronological,48,12,64,0.46746253967285156
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,1.0,1,chronological,48,12,64,0.46746253967285156
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,1.0,1,chronological,48,12,64,0.46746253967285156
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,2,chronological,48,12,64,0.6206705570220947
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,2,chronological,48,12,64,0.6206705570220947
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,2,chronological,48,12,64,0.6206705570220947
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,1.0,2,chronological,48,12,64,0.46385812759399414
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,1.0,2,chronological,48,12,64,0.46385812759399414
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,1.0,2,chronological,48,12,64,0.46385812759399414
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,3,chronological,48,12,64,0.9632189273834229
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,3,chronological,48,12,64,0.9632189273834229
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,3,chronological,48,12,64,0.9632189273834229
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,1.0,3,chronological,48,12,64,0.4665350914001465
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,1.0,3,chronological,48,12,64,0.4665350914001465
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,1.0,3,chronological,48,12,64,0.4665350914001465
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,4,chronological,48,12,64,0.67580246925354
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,4,chronological,48,12,64,0.67580246925354
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,4,chronological,48,12,64,0.67580246925354
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,0.5,4,chronological,48,12,64,0.4644479751586914
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,0.75,4,chronological,48,12,64,0.4644479751586914
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,0.7571428571428571,4,chronological,48,12,64,0.4644479751586914
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,0.8333333333333334,0,chronological,48,12,62,0.6219186782836914
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,0.9166666666666666,0,chronological,48,12,62,0.6219186782836914
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,0.9285714285714286,0,chronological,48,12,62,0.6219186782836914
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,1.0,0,chronological,48,12,62,0.4511983394622803
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,1.0,0,chronological,48,12,62,0.4511983394622803
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,1.0,0,chronological,48,12,62,0.4511983394622803
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,1.0,1,chronological,48,12,62,0.7298564910888672
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,1.0,1,chronological,48,12,62,0.7298564910888672
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,1.0,1,chronological,48,12,62,0.7298564910888672
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,1.0,1,chronological,48,12,62,0.45118045806884766
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,1.0,1,chronological,48,12,62,0.45118045806884766
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,1.0,1,chronological,48,12,62,0.45118045806884766
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,0.8333333333333334,2,chronological,48,12,62,0.7008371353149414
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,0.9166666666666666,2,chronological,48,12,62,0.7008371353149414
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,0.9166666666666667,2,chronological,48,12,62,0.7008371353149414
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,1.0,2,chronological,48,12,62,0.4484589099884033
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,1.0,2,chronological,48,12,62,0.4484589099884033
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,1.0,2,chronological,48,12,62,0.4484589099884033
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,1.0,3,chronological,48,12,62,0.8457512855529785
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,1.0,3,chronological,48,12,62,0.8457512855529785
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,1.0,3,chronological,48,12,62,0.8457512855529785
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,1.0,3,chronological,48,12,62,0.44980382919311523
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,1.0,3,chronological,48,12,62,0.44980382919311523
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,1.0,3,chronological,48,12,62,0.44980382919311523
Miller2019-motor_basic,fp,0,LogBandPower+LDA,kappa,0.6666666666666667,4,chronological,48,12,62,0.7506735324859619
Miller2019-motor_basic,fp,0,LogBandPower+LDA,accuracy,0.8333333333333334,4,chronological,48,12,62,0.7506735324859619
Miller2019-motor_basic,fp,0,LogBandPower+LDA,balanced_accuracy,0.875,4,chronological,48,12,62,0.7506735324859619
Miller2019-motor_basic,fp,0,HighGamma+LDA,kappa,0.6666666666666667,4,chronological,48,12,62,0.4518435001373291
Miller2019-motor_basic,fp,0,HighGamma+LDA,accuracy,0.8333333333333334,4,chronological,48,12,62,0.4518435001373291
Miller2019-motor_basic,fp,0,HighGamma+LDA,balanced_accuracy,0.875,4,chronological,48,12,62,0.4518435001373291
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,0,chronological,48,12,64,0.6420354843139648
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,0,chronological,48,12,64,0.6420354843139648
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,0,chronological,48,12,64,0.6420354843139648
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,0,chronological,48,12,64,0.4657931327819824
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,0,chronological,48,12,64,0.4657931327819824
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,0,chronological,48,12,64,0.4657931327819824
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,1,chronological,48,12,64,0.71356201171875
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,1,chronological,48,12,64,0.71356201171875
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,1,chronological,48,12,64,0.71356201171875
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,1,chronological,48,12,64,0.46541810035705566
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,1,chronological,48,12,64,0.46541810035705566
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,1,chronological,48,12,64,0.46541810035705566
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,2,chronological,48,12,64,0.6873929500579834
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,2,chronological,48,12,64,0.6873929500579834
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,2,chronological,48,12,64,0.6873929500579834
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,2,chronological,48,12,64,0.46377110481262207
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,2,chronological,48,12,64,0.46377110481262207
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,2,chronological,48,12,64,0.46377110481262207
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,3,chronological,48,12,64,0.7188122272491455
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,3,chronological,48,12,64,0.7188122272491455
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,3,chronological,48,12,64,0.7188122272491455
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,3,chronological,48,12,64,0.4647562503814697
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,3,chronological,48,12,64,0.4647562503814697
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,3,chronological,48,12,64,0.4647562503814697
Miller2019-motor_basic,gc,0,LogBandPower+LDA,kappa,1.0,4,chronological,48,12,64,0.8448507785797119
Miller2019-motor_basic,gc,0,LogBandPower+LDA,accuracy,1.0,4,chronological,48,12,64,0.8448507785797119
Miller2019-motor_basic,gc,0,LogBandPower+LDA,balanced_accuracy,1.0,4,chronological,48,12,64,0.8448507785797119
Miller2019-motor_basic,gc,0,HighGamma+LDA,kappa,1.0,4,chronological,48,12,64,0.4718818664550781
Miller2019-motor_basic,gc,0,HighGamma+LDA,accuracy,1.0,4,chronological,48,12,64,0.4718818664550781
Miller2019-motor_basic,gc,0,HighGamma+LDA,balanced_accuracy,1.0,4,chronological,48,12,64,0.4718818664550781
