dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-imagery_basic,hh,im,HighGamma+LDA,kappa,0.5,0,48,12,48,0.3555419445037842
Miller2019-imagery_basic,hh,im,HighGamma+LDA,accuracy,0.9166666666666666,1,48,12,48,0.35092830657958984
Miller2019-imagery_basic,hh,im,HighGamma+LDA,balanced_accuracy,0.9166666666666667,1,48,12,48,0.35092830657958984
Miller2019-imagery_basic,hh,im,HighGamma+LDA,kappa,0.8333333333333334,1,48,12,48,0.35092830657958984
Miller2019-imagery_basic,hh,im,HighGamma+LDA,accuracy,0.6666666666666666,2,48,12,48,0.3612198829650879
Miller2019-imagery_basic,hh,im,HighGamma+LDA,balanced_accuracy,0.6666666666666666,2,48,12,48,0.3612198829650879
Miller2019-imagery_basic,hh,im,HighGamma+LDA,kappa,0.33333333333333337,2,48,12,48,0.3612198829650879
Miller2019-imagery_basic,hh,im,HighGamma+LDA,accuracy,0.5833333333333334,3,48,12,48,0.3548581600189209
Miller2019-imagery_basic,hh,im,HighGamma+LDA,balanced_accuracy,0.5571428571428572,3,48,12,48,0.3548581600189209
Miller2019-imagery_basic,hh,im,HighGamma+LDA,kappa,0.11764705882352944,3,48,12,48,0.3548581600189209
Miller2019-imagery_basic,hh,im,HighGamma+LDA,accuracy,0.5833333333333334,4,48,12,48,0.35501623153686523
Miller2019-imagery_basic,hh,im,HighGamma+LDA,balanced_accuracy,0.5833333333333333,4,48,12,48,0.35501623153686523
Miller2019-imagery_basic,hh,im,HighGamma+LDA,kappa,0.16666666666666663,4,48,12,48,0.35501623153686523
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,accuracy,1.0,0,48,12,48,0.3546452522277832
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,balanced_accuracy,1.0,0,48,12,48,0.3546452522277832
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,kappa,1.0,0,48,12,48,0.3546452522277832
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,accuracy,1.0,1,48,12,48,0.3542366027832031
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,balanced_accuracy,1.0,1,48,12,48,0.3542366027832031
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,kappa,1.0,1,48,12,48,0.3542366027832031
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,accuracy,1.0,2,48,12,48,0.35579609870910645
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,balanced_accuracy,1.0,2,48,12,48,0.35579609870910645
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,kappa,1.0,2,48,12,48,0.35579609870910645
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,accuracy,1.0,3,48,12,48,0.355823278427124
Miller2019-imagery_basic,jc,mot,HighGamma+LDA,balanced_accuracy,1.0,3,48,12,48,0.355823278427124
