dataset,subject,session,pipeline,metric,score,fold,fold_policy,n_train,n_test,n_channels,time
Miller2019-fingerflex,mv,0,HighGamma+Ridge,pearson_r,0.27059849331349906,2,chronological,2838,714,43,2.1140975952148438
Miller2019-fingerflex,mv,0,HighGamma+Ridge,r2,-0.06577732210238366,2,chronological,2838,714,43,2.1140975952148438
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,pearson_r,0.22497235059670356,3,chronological,2838,714,43,2.163652181625366
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,r2,-0.22564359887760643,3,chronological,2838,714,43,2.163652181625366
Miller2019-fingerflex,mv,0,HighGamma+Ridge,pearson_r,0.23877518692989036,3,chronological,2838,714,43,2.1162776947021484
Miller2019-fingerflex,mv,0,HighGamma+Ridge,r2,-0.04604698606845905,3,chronological,2838,714,43,2.1162776947021484
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,pearson_r,0.2221729373154892,4,chronological,2847,714,43,2.1731314659118652
Miller2019-fingerflex,mv,0,LogBandPower+Ridge,r2,-0.08345669085447034,4,chronological,2847,714,43,2.1731314659118652
Miller2019-fingerflex,mv,0,HighGamma+Ridge,pearson_r,0.27498119540939114,4,chronological,2847,714,43,2.120039701461792
Miller2019-fingerflex,mv,0,HighGamma+Ridge,r2,0.029764310895053603,4,chronological,2847,714,43,2.120039701461792
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,pearson_r,0.18723446898733825,0,chronological,9744,2438,64,11.781818389892578
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,r2,-0.15595607733569058,0,chronological,9744,2438,64,11.781818389892578
Miller2019-fingerflex,wc,0,HighGamma+Ridge,pearson_r,0.2061255472730191,0,chronological,9744,2438,64,11.544735193252563
Miller2019-fingerflex,wc,0,HighGamma+Ridge,r2,-0.12111163040309583,0,chronological,9744,2438,64,11.544735193252563
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,pearson_r,0.18777926353046012,1,chronological,9735,2438,64,11.740612030029297
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,r2,-0.16368780708266922,1,chronological,9735,2438,64,11.740612030029297
Miller2019-fingerflex,wc,0,HighGamma+Ridge,pearson_r,0.1866531774875871,1,chronological,9735,2438,64,11.51611614227295
Miller2019-fingerflex,wc,0,HighGamma+Ridge,r2,-0.11146220625094819,1,chronological,9735,2438,64,11.51611614227295
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,pearson_r,0.21533570158719084,2,chronological,9735,2438,64,11.745588064193726
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,r2,-0.07887838054700706,2,chronological,9735,2438,64,11.745588064193726
Miller2019-fingerflex,wc,0,HighGamma+Ridge,pearson_r,0.2069694860062327,2,chronological,9735,2438,64,11.515992403030396
Miller2019-fingerflex,wc,0,HighGamma+Ridge,r2,-0.019232882037870547,2,chronological,9735,2438,64,11.515992403030396
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,pearson_r,0.17579014387123448,3,chronological,9735,2438,64,11.746634483337402
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,r2,-0.20805794065513333,3,chronological,9735,2438,64,11.746634483337402
Miller2019-fingerflex,wc,0,HighGamma+Ridge,pearson_r,0.20023993848608415,3,chronological,9735,2438,64,11.51296067237854
Miller2019-fingerflex,wc,0,HighGamma+Ridge,r2,-0.13363161608746155,3,chronological,9735,2438,64,11.51296067237854
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,pearson_r,0.1722520163866274,4,chronological,9743,2439,64,11.751080751419067
Miller2019-fingerflex,wc,0,LogBandPower+Ridge,r2,-0.30599153483017355,4,chronological,9743,2439,64,11.751080751419067
Miller2019-fingerflex,wc,0,HighGamma+Ridge,pearson_r,0.19967559836618942,4,chronological,9743,2439,64,11.580382585525513
Miller2019-fingerflex,wc,0,HighGamma+Ridge,r2,-0.16058178346919633,4,chronological,9743,2439,64,11.580382585525513
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,pearson_r,0.28090063565811774,0,chronological,7101,1777,38,4.760218858718872
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,r2,-0.26078859272914195,0,chronological,7101,1777,38,4.760218858718872
Miller2019-fingerflex,wm,0,HighGamma+Ridge,pearson_r,0.32446729865572504,0,chronological,7101,1777,38,4.664045810699463
Miller2019-fingerflex,wm,0,HighGamma+Ridge,r2,-0.22510471072701654,0,chronological,7101,1777,38,4.664045810699463
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,pearson_r,0.2419521114918969,1,chronological,7092,1777,38,4.742202043533325
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,r2,-0.1184019296866567,1,chronological,7092,1777,38,4.742202043533325
Miller2019-fingerflex,wm,0,HighGamma+Ridge,pearson_r,0.29820423680692343,1,chronological,7092,1777,38,4.653642892837524
Miller2019-fingerflex,wm,0,HighGamma+Ridge,r2,-0.0507983975839265,1,chronological,7092,1777,38,4.653642892837524
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,pearson_r,0.1843576289253883,2,chronological,7091,1778,38,4.739805698394775
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,r2,-0.7216752582629027,2,chronological,7091,1778,38,4.739805698394775
Miller2019-fingerflex,wm,0,HighGamma+Ridge,pearson_r,0.1883397191484108,2,chronological,7091,1778,38,4.651482820510864
Miller2019-fingerflex,wm,0,HighGamma+Ridge,r2,-0.5533572129834387,2,chronological,7091,1778,38,4.651482820510864
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,pearson_r,0.1737752534594525,3,chronological,7092,1777,38,4.743516445159912
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,r2,-1.4330986154354421,3,chronological,7092,1777,38,4.743516445159912
Miller2019-fingerflex,wm,0,HighGamma+Ridge,pearson_r,0.18741591677492248,3,chronological,7092,1777,38,4.656445026397705
Miller2019-fingerflex,wm,0,HighGamma+Ridge,r2,-1.243686939909647,3,chronological,7092,1777,38,4.656445026397705
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,pearson_r,0.03840289315045532,4,chronological,7100,1778,38,4.773980379104614
Miller2019-fingerflex,wm,0,LogBandPower+Ridge,r2,-3.2837574359102772,4,chronological,7100,1778,38,4.773980379104614
Miller2019-fingerflex,wm,0,HighGamma+Ridge,pearson_r,0.08058211999054804,4,chronological,7100,1778,38,4.666882276535034
Miller2019-fingerflex,wm,0,HighGamma+Ridge,r2,-3.3358543739267263,4,chronological,7100,1778,38,4.666882276535034
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,pearson_r,0.2701537562826345,0,chronological,9744,2438,61,11.059739351272583
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,r2,-0.04869922749170556,0,chronological,9744,2438,61,11.059739351272583
Miller2019-fingerflex,zt,0,HighGamma+Ridge,pearson_r,0.2899264235600288,0,chronological,9744,2438,61,10.838446140289307
Miller2019-fingerflex,zt,0,HighGamma+Ridge,r2,-0.012538802559501483,0,chronological,9744,2438,61,10.838446140289307
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,pearson_r,0.2783764778287556,1,chronological,9735,2438,61,11.011645078659058
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,r2,-0.04477459067730882,1,chronological,9735,2438,61,11.011645078659058
Miller2019-fingerflex,zt,0,HighGamma+Ridge,pearson_r,0.30592810068987836,1,chronological,9735,2438,61,10.829012632369995
Miller2019-fingerflex,zt,0,HighGamma+Ridge,r2,0.0008138481887598025,1,chronological,9735,2438,61,10.829012632369995
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,pearson_r,0.23671205183328564,2,chronological,9735,2438,61,11.027985095977783
Miller2019-fingerflex,zt,0,LogBandPower+Ridge,r2,-0.04705234554118139,2,chronological,9735,2438,61,11.027985095977783
