dataset,subject,session,pipeline,metric,score,fold,n_train,n_test,n_channels,time
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,1,48,12,64,0.651914119720459
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,1,48,12,64,0.651914119720459
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,1,48,12,64,0.651914119720459
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,1.0,1,48,12,64,0.46081066131591797
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,1.0,1,48,12,64,0.46081066131591797
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,1.0,1,48,12,64,0.46081066131591797
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,2,48,12,64,0.6513588428497314
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,2,48,12,64,0.6513588428497314
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,2,48,12,64,0.6513588428497314
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,1.0,2,48,12,64,0.4641726016998291
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,1.0,2,48,12,64,0.4641726016998291
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,1.0,2,48,12,64,0.4641726016998291
Miller2019-motor_basic,de,0,LogBandPower+LDA,accuracy,1.0,3,48,12,64,0.6497929096221924
Miller2019-motor_basic,de,0,LogBandPower+LDA,balanced_accuracy,1.0,3,48,12,64,0.6497929096221924
Miller2019-motor_basic,de,0,LogBandPower+LDA,kappa,1.0,3,48,12,64,0.6497929096221924
Miller2019-motor_basic,de,0,HighGamma+LDA,accuracy,1.0,3,48,12,64,0.46917176246643066
Miller2019-motor_basic,de,0,HighGamma+LDA,balanced_accuracy,1.0,3,48,12,64,0.46917176246643066
Miller2019-motor_basic,de,0,HighGamma+LDA,kappa,1.0,3,48,12,64,0.46917176246643066
